title,studio,lifetime_gross,year
Norbit,Paramount,95673607,2007
Sex and the City 2,WB,95347692,2010
Rocketman  ,Paramount,95335549,2019
The Princess Diaries 2: Royal Engagement,Disney,95170481,2004
42,WB,95020213,2013
Unbreakable,Disney,95011339,2000
The Book of Eli,WB,94835059,2010
"10,000 B.C.",WB,94784201,2008
Beverly Hills Chihuahua,Disney,94514402,2008
Julie & Julia,Sony,94125426,2009
The Mask of Zorro,Sony,94095523,1998
Maid in Manhattan,Sony,94011225,2002
He's Just Not That Into You,WB,93953653,2009
Master and Commander: The Far Side of the World,Fox,93927920,2003
Flight,Paramount,93772375,2012
The Fighter,Paramount,93617009,2010
America's Sweethearts,Sony,93607673,2001
The Bucket List,WB,93466502,2007
Tomorrowland,Disney,93436322,2015
The Magnificent Seven (2016),Sony,93432655,2016
Cats & Dogs,WB,93385515,2001
Two Weeks Notice,WB,93354851,2002
Red Dragon,Universal,93149898,2002
Flubber,Disney,92977226,1997
The Town,WB,92186262,2010
Non-Stop,Universal,92168600,2014
The Client,WB,92115211,1994
Blade Runner 2049,WB,92054159,2017
